zinc_id,smiles
ZINC000045387112,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1O
ZINC000049766500,COc1ccc(NC(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1-c1c(Br)cnn1C
ZINC000073294410,O=C(c1cccc2ccnn12)N1CCN(CCc2ccc(F)cc2F)CC1
ZINC000114602247,Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)c1
ZINC000013472070,O=S1(=O)c2ccccc2CCC12CCN(CCc1ccc(F)cc1F)CC2
ZINC000045254336,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCCC1
ZINC000013472089,O=S(=O)(c1ccc(F)cc1)C1CCN(CCc2ccc(F)cc2F)CC1
ZINC000045252925,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCC(O)CC1
ZINC000003981534,F[C@@H]1CCNC[C@H]1c1c(-c2ccccc2)[nH]c2ccccc12
ZINC000026641114,CCN(C)CCc1c(-c2ccc(F)cc2)[nH]c2ccccc12
ZINC000045256601,CCN(CC)CCOc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1ccnn1C
ZINC000045316300,Cn1ncc(Cl)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCCC1
ZINC000027741198,Cn1c2c(c3ccccc31)C(=O)[C@H](CN1CCC(C(=O)c3ccc(F)cc3)CC1)CC2
ZINC000027741207,Cn1c2c(c3ccccc31)C(=O)[C@@H](CN1CCC(C(=O)c3ccc(F)cc3)CC1)CC2
ZINC000028528904,CC(=O)N1CC[C@@H](C)c2cc(F)cc(CCN3CCN(c4nsc5ccccc45)CC3)c21
ZINC000028528905,CC(=O)N1CC[C@H](C)c2cc(F)cc(CCN3CCN(c4nsc5ccccc45)CC3)c21
ZINC000000000931,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
ZINC000029038596,CCCC(=O)N[C@@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000029038598,CCCC(=O)N[C@H]1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21
ZINC000029038740,O=C(N[C@@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)C1CC1
ZINC000029038742,O=C(N[C@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21)C1CC1
ZINC000002530693,COc1cc(C[C@H](C)N)c(OC)cc1I
ZINC000013862740,Fc1cccc2c([C@@H]3CNCC[C@H]3F)c(-c3ccccc3)[nH]c12
ZINC000001489880,c1ccc(CCN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)cc1
ZINC000043194094,Fc1ccc2cccc(N3CCN(CCCCOc4ccc5c(c4)CNC5)CC3)c2c1
ZINC000056898757,N#Cc1c[nH]c2c(C(=O)N3CCN(CCc4ccc(F)cc4)CC3)cccc12
ZINC000000000504,CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1
ZINC000000000855,CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1
ZINC000000002264,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
ZINC000000057163,COc1ccc2[nH]cc(CCN)c2c1
ZINC000000589131,NC(=O)c1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1
ZINC000003986726,COc1cc([C@@H](O)[C@@H](C)N)c(OC)cc1Br
ZINC000006745689,COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C
ZINC000013488017,Nc1cc(F)ccc1C(=O)CCCN1CC[C@H]2[C@@H](C1)c1cccc3c1N2CCC3
ZINC000029038735,CCCC(=O)N[C@@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
ZINC000029038737,CCCC(=O)N[C@H]1CCc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc21
ZINC000034444646,COc1ccc(NC(=O)Nc2ccc(Cl)cc2C(F)(F)F)cc1-c1c(Br)cnn1C
ZINC000034643242,COc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1c(Br)cnn1C(C)C
ZINC000045372252,O=S(=O)(c1ccc2ccccc2c1)N(CCCN1CCN(c2ccc(F)cc2)CC1)CC1CCCCC1
ZINC000045391782,COc1ccc(NC(=O)Nc2cccc(C#N)c2)cc1-c1c(Br)cnn1C
ZINC000071318302,Cc1cccc(N2CCN(CCCCOc3ccc4c(n3)NC(=O)CC4)CC2)c1Cl
ZINC000096929481,Cc1cc(=O)oc2cc(OC/C=C/CN3CCC(c4noc5cc(F)ccc45)CC3)ccc12
ZINC000114602679,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1
ZINC000013473853,O=C(c1ccc(F)cc1)C1CCN(CCc2cccc(I)c2)CC1
ZINC000028103809,O=C(CN1CCC(S(=O)(=O)c2ccccc2)CC1)c1ccc(F)cc1F
ZINC000038239930,COc1ccc(NC(=O)Nc2ccc(F)cc2F)cc1-c1c(Br)cnn1C
ZINC000053224601,O=C(CN1CCC(S(=O)(=O)c2ccccc2)CC1)c1ccc(F)cc1
ZINC000000593381,NC(=O)c1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1
ZINC000013472088,N#Cc1ccccc1S(=O)(=O)C1CCN(CCc2ccc(F)cc2F)CC1
